#fields	hash	name
503fe06db7ef09b2cbd771c4e784c686	Chrome_49.0.2623.75	T
bd4267e1672f9df843ada7c963490a0d	Chrome_50.0.2661.102_1	T
caeb3b546fc7469776d51f1f54a792ca	Chrome_50.0.2661.102_2	T
aa84deda2a937ad225ef94161887b0cb	Chrome_51.0.2704.106_(test)	T
473e8bad0e8e1572197be80faa1795c3	Chrome_51.0.2704.84_1	T
e0b0e6c934c686fd18a5727648b3ed4f	Chrome_51.0.2704.84_2	T
7ddfe8d6f8b51a90d10ab3fe2587c581	Chrome_51.0.2704.84_3	T
bc76a4185cc9bd4c72471620e552618c	Chrome_51.0.2704.84_4	T
8e3eea71cb5a932031d90cc0fba581bc	Chrome_51.0.2704.84_5	T
653924bcb1d6fd09a048a4978574e2c5	Chrome_51.0.2704.84_6	T
1ef652ecfb8e60e771a4710166afc262	Chrome_51.0.2704.84_7	T
a7f2d0376cdcfde3117bf6a8359b2ab8	Chrome_Version_49.0.2623	T
94c485bca29d5392be53f2b8cf7f4304	Chrome_Version_60/61.0.3163;_whatsapp-malspam-1st-run	T
d3b972883dfbd24fd20fc200ad8ab22a	Chrome_Version_61.0.3163	T
62d8823f52dd8e1ba75a9a83e8748313	Chrome_WebSockets_(48.xxxx)	T
cafd1f84716def1a414c688943b99faf	Chrome_WebSockets_(48.xxxx)_-_also_TextSecure_Desktop	T
be9f1360cf52dc1f61ae025252f192a3	Chromium	T
fc5cb0985a5f5e295163cc8ffff8a6e1	Chromium	T
e7d46c98b078477c4324031e0d3b22f5	Cisco_AnyConnect_Secure_Mobility_Client	T
ed36017db541879619c399c95e22067d	Cisco_AnyConnect_Secure_Mobility_Client	T
7f340e6caa1fa4c979df919227160ff6	Cisco_AnyConnect_Secure_Mobility_Client_(3.1.09013)	T
203157ed9f587f0cfd265061bf309823	Citrix_Receiver_4.4.0.8014	T
5ee1a653fb824db7182714897fd3b5df	Citrix_Viewer	T
6f6888803418a76239f004e6a7ca32c6	Covenant_Eyes	T
a9d17f74e55dd53fcf7c234f8a240919	Covenant_Eyes	T
111da7c75fee7fe934b35a8d88eb350a	CRAWLER:_facebookexternalhit/1.1	T
c882d9444412c00e71b643f3f54145ff	Creative_Cloud	T
bc0608d33dc64506b42f7f5f87958f37	cscan	T
f672d8f0e827ca1e704a9489b14dd316	curl	T
a50a861119aceb0ccc74902e8fddb618	curl/7.19.7_(x86_64-pc-linux-gnu)_libcurl/7.19.7_OpenSSL/0.9.8k_zlib/1.2.3.3_libidn/1.15	T
e3891da2a758d67ba921e5eec0b9707d	curl/7.19.7_(x86_64-redhat-linux-gnu)_libcurl/7.19.7_NSS/3.16.2.3_Basic_ECC_zlib/1.2.3_libidn/1.18_libssh2/1.4.2	T
3ca5d63fa122552463772d3e87d276f2	curl/7.19.7_(x86_64-redhat-linux-gnu)_libcurl/7.19.7_NSS/3.27.1_zlib/1.2.3_libidn/1.18_libssh2/1.4.2	T
37f691b063c10372135db21579643bf1	curl/7.29.0;Mozilla/5.0_(Macintosh;_Intel_Mac_OS_X_10_7_3)_	T
ec2e8760003621ca668b5f03e616cd57	curl/7.47.0	T
488b6b601cb141b062d4da7f524b4b22	curl/7.64.0;Python;Git	T
764b8952983230b0ac23dbd3741d2bb0	curl_(tested:_7.22.0_on_Linux)	T
9f198208a855994e1b8ec82c892b7d37	curl_(tested:_7.43.0_OS_X)	T
c458ae71119005c8bc26d38a215af68f	curl_7.35.0_(tested_Ubuntu_14.x__openssl_1.0.1f)	T
e14d427fab707af91e4bbd0bf03076f8	curl_7.37.0_/_links_2.8_/_git_2.6.6_(openSUSE_Leap_42.1)	T
bdf21e38e1f69776df407235625e75e2	Dalvik/2.1.0(Linux;Android_5.1.1;Android_SDK	T
0217dc3bd88c696cc15374db0d848de4	Dashlane	T
f7baf7d9da27449e823a4003e14cd623	Debian_APT-CURL/1.0_(1.2.15)	T
054c9f9d304b7a2add3d6fa75bc20ae4	Dropbox	T
36bc8c7e10647bbfea3f740e7f05c0f1	Dropbox	T
190dfb280fe3b541acc6a2e5f00690e6	Dropbox;GitHub;Used_by_many_programs	T
ede63467191e9a12300e252c41ca9004	Dropbox_(installer?)	T
653d342bee5001569662198a672746af	DropBox_(tested:_3.12.5_-_Ubuntu_14.04TS_&_Win_10)	T
482a11a20da1629b77aaadf640478d13	Dropbox_(Win_8.1)	T
21ed4c7ee1daeb84c72199ceaf119b24	Dropbox_Client	T
30b168d81e38d9a55c474c1e30eaf9f9	Dropbox_Client	T
f8e42933ba5b3990858ba621489047e3	Dropbox_Client	T
2f8363419a9fb80ad46b380778d8eaf1	Dropbox_Setup_(tested:_3.10.11_on_Win_8.x)	T
c1e8322501b4d56d484b50bd7273e798	Dropbox_Splash_Pages_(Win_10)	T
6c141f98cd79d8b505123e555c1c3119	Dropbox_Windows	T
4c40bf8baa7c301c5dba8a20bc4119e2	Dynalist;_Franz;_GOG_Galaxy	T
0411bbb5ff27ad46e1874a7a8beedacb	eclipse	T
4990c9da08f44a01ecd7ddc3837caf25	eclipse	T
d74778f454e2b047e030b291b94dd698	eclipse	T
fa106fe5beec443af7e211ef8902e7e0	eclipse	T
576a1288426703ae0008c42f95499690	Facebook_iOS	T
a698fe6c52d210e3376bb6667729d4d2	fetchmail_6.3.26_(openSUSE_Leap_42.1)	T
1fbe5382f9d8430fe921df747c46d95f	FieldServiceApp	T
07b4162d4db57554961824a21c4a0fde	firefox	T
0a81538cf247c104edb677bdb8902ed5	firefox	T
0b6592fd91d4843c823b75e49b43838d	firefox	T
1c15aca4a38bad90f9c40678f6aface9	firefox	T
5163bc7c08f57077bc652ec370459c2f	firefox	T
61d0d709fe7ac199ef4b2c52bc8cef75	firefox	T
a88f1426c4603f2a8cd8bb41e875cb75	firefox	T
b03910cc6de801d2fcfa0c3b9f397df4	firefox	T
bfcc1a3891601edb4f137ab7ab25b840	firefox	T
ce694315cbb81ce95e6ae4ae8cbafde6	firefox	T
f15797a734d0b4f171a86fd35c9a5e43	firefox	T
55f2bd38d462d74fb6bb72d3630aae16	Firefox/10.0.11esrpre_Iceape/2.7.12	T
